C,Mn,Al,Si,Fe,UTS,UE,SDI
0.19,1.59,0.036,1.63,96.554,869,25.9,6.529888909
0.19,1.59,0.036,1.63,96.554,877,25.6,6.546053629
0.19,4.02,0.031,0.5,95.259,1111,20.2,7.294353429
0.29,2.95,0.06,1.59,95.11,1495,15,8.82120278
0.21,10.2,1.94,0,87.65,1515,14.8,8.906507899
0.19,1.59,0.036,1.63,96.554,904,24.8,6.617954707
0.201,1.8,0.041,1.24,96.718,817.8,27.4,6.392152526
0.29,2.95,0.06,1.59,95.11,1492,15,8.805958286
0.29,2.95,0.06,1.59,95.11,1489,15,8.790713792
0.8,8,8,0,83.2,1676.9,13.3,9.606766116
0.18,6.4,2.8,0.5,90.12,1018,21.9,6.96053527
0.18,11.02,3.81,0,84.99,736.4,30,6.190741536
0.18,11.02,3.81,0,84.99,736.4,30,6.190741536
0,26.2,3.6,0,70.2,495.9,44.4,6.144029909
0,26.2,3.6,0,70.2,497.8,44.2,6.137359913
0.1,5.25,0,2.09,92.56,981,22.4,6.813331948
0,30,0,0,70,487.0977078,45.06329813,6.153442265
0.05,16.86,0,0,83.09,773.4,28.2,6.231833382
0.1,5.25,0,2.09,92.56,1239,17.6,7.732562229
0.05,5,0,0.2,94.75,871.9,25,6.471163462
0.05,16.86,0,0,83.09,769.4,28.3,6.219669811
0.1,4.91,0.008,2.04,92.942,849,25.6,6.403771684
0.1,5.25,0,2.09,92.56,1174,18.5,7.475726646
0.17,5.56,1.21,0,93.06,1633,13.3,9.383688351
0.1,6.38,0,0,93.52,1038.3,20.9,6.982065469
0.21,10.2,1.94,0,87.65,1335,16.2,8.106112145
0.016,30.79,0,0,69.194,490.9358715,44.05140081,6.090350566
0.19,1.59,0.036,1.63,96.554,951,22.7,6.68537427
0.35,3.5,5.8,0,90.35,794,27.12220762,6.248538288
0.14,7.14,0.056,0.23,92.434,1721.4,12.5,9.76759341
0.195,1.55,0.04,1.21,97.005,747,28.7,6.13849394
0.12,7,0,0.3,92.58,1053.4,20.3,7.009821562
0.11,4.5,2.2,0.45,92.74,929,23,6.598068577
0.19,1.59,0.036,1.63,96.554,991,21.5,6.790685138
0.29,2.95,0.06,1.59,95.11,1520,14,8.866616019
0.199,0.94,0.041,2.1,96.72,740,28.7,6.102923453
0.199,0.94,0.041,2.1,96.72,752.8,28.2,6.127154522
0.3,9,5,0,85.7,840,25.2,6.325388516
0.19,1.59,0.036,1.63,96.554,975,21.7,6.725706011
0.32,2.65,0,0.95,96.08,968.1837567,21.77440407,6.697142458
0.14,7.14,0.056,0.23,92.434,1442.9,14.6,8.523807046
0.16,3.95,0,0.5,95.39,972.8,21.6,6.706364295
0.15,6.09,1.849,0.969,90.942,1400,15,8.338460464
0.36,28.86,9.52,0.04,61.22,841,24.9,6.305982751
0.23,8.1,5.3,0.01,86.36,793,26.4,6.184507162
0.28,4.08,0,1.42,94.22,1539,13.6,8.930514797
0.06,29.2,5.2,0.6,64.94,497,42.1,5.961883869
0.08,12.8,0,0,87.12,1264,16.5,7.769813047
0.8,20,7,0,72.2,1080,19.3,7.063365198
0.16,3.95,0,0.5,95.39,1031,20.2,6.887833584
0.195,1.55,0.04,1.21,97.005,797.3,26.1,6.18187034
0.201,1.8,0.041,1.24,96.718,800.2,26,6.188444263
0.3,5.06,0.022,0.019,94.599,1368,15.2,8.192177369
0.06,29.2,5.2,0.6,64.94,483,43,5.964204687
0.075,5.1,2.1,0.49,92.235,870,23.8,6.363559561
0.1,6.38,0,0,93.52,915.8,22.6,6.498343117
0.12,5.13,0,0.009,94.741,989,20.9,6.731547615
0.19,1.59,0.036,1.63,96.554,1033,20,6.881671738
0.11,4.86,0,0,95.03,857,24.1,6.32198735
0.17,3.99,0.025,0.5,95.315,1067,19.3,6.997305724
0.1,4.7,0,0,95.2,825.6,24.9,6.227727681
0.201,1.8,0.041,1.24,96.718,853,24.1,6.301661358
0.195,1.55,0.04,1.21,97.005,762.1,26.8,6.060138557
0.12,5.13,0,0.009,94.741,818,24.9,6.189108295
0.3,8.5,5.6,0,85.6,783.3,26,6.102566946
0.32,1.42,0,1.56,96.7,1071.378545,19.00555658,6.995521577
0.083,4.62,0,0,95.297,877,23.2,6.35015552
0.195,1.55,0.04,1.21,97.005,763.5,26.6,6.050927812
0.3,4,1.82,0.6,93.28,1230.7,16.5,7.600599161
0.05,6.15,0,1.5,92.3,1014,20,6.785123275
0.19,1.59,0.036,1.63,96.554,859,23.6,6.29133824
0.32,1.42,0,1.56,96.7,959.1399348,21.04594521,6.591726414
0.06,29.2,5.2,0.6,64.94,464,43.5,5.90846833
0.25,7.17,2.6,0,89.98,889,22.7,6.370321391
0.5,12,7,0,80.5,909,22.2,6.431139246
0.15,4.02,0.027,0.49,95.313,1113,18.1,7.13310558
0.3,7,2,0,90.7,958.9,21,6.586756944
0.099,7.09,0.031,0.13,92.65,1198,16.8,7.458921439
0.15,7,0,0.2,92.65,1281.1,15.7,7.791407294
0.3,4,0,1.6,94.1,1621,12.4,9.249248584
0.19,1.59,0.036,1.63,96.554,980,20.5,6.653164447
0.19,1.59,0.036,1.63,96.554,953,21,6.556776106
0.57,12.4,1.4,0.4,85.23,1175,17,7.358371826
0.06,1.55,0,1.94,96.45,656.9,30.4,5.819412125
0.11,4.86,0,0,95.03,821,24.3,6.155378262
0.195,1.55,0.04,1.21,97.005,777.7,25.6,6.041460872
0.19,1.59,0.036,1.63,96.554,1022,19.4,6.776800732
0.199,0.94,0.041,2.1,96.72,770.3,25.7,6.012020208
0.3,4,0,1.6,94.1,1661,11.9,9.4116964
0.195,1.55,0.04,1.21,97.005,768.6,25.7,6.003381661
0.7,12,5.5,0,81.8,1233.6,16,7.5745234
0.195,1.55,0.04,1.21,97.005,831.1,23.7,6.157726865
0.199,0.94,0.041,2.1,96.72,702.3,28,5.854214028
0.083,4.62,0,0,95.297,922,21.3,6.42373693
0.29,2.95,0.06,1.59,95.11,1501,13,8.688443344
0.47,26,9.7,0,63.83,945,20.6,6.483474436
0.201,1.8,0.041,1.24,96.718,787.9,24.7,6.019830361
1,28,12,0,59,986,19.7,6.618354066
0.055,5.6,2.2,0.49,91.655,871,22.3,6.246204741
0.201,1.8,0.041,1.24,96.718,859.2,22.6,6.210730327
0.2,0.951,0.041,1.56,97.248,721.8,26.9,5.863516607
0.06,5.5,0.03,0.2,94.21,1109.5,17.5,7.066345809
0.1,4.7,0,0,95.2,880.3,22,6.268975409
0.1,4.7,0,0,95.2,895.2,21.6,6.312040045
0.083,4.62,0,0,95.297,947,20.4,6.47731259
0.05,12,3,0,84.95,786,24.5,5.993850673
0.22,7.2,2.4,0,90.18,898.6,21.4,6.312992296
0.201,1.8,0.041,1.24,96.718,839.5,22.9,6.135112079
0.201,1.8,0.041,1.24,96.718,803.8,23.9,6.035326811
0.208,5.11,2.47,0,92.212,1123.3,17.1,7.103820797
0.018,31.6,0,6.45,61.932,710,27,5.811717351
0.19,1.59,0.036,1.63,96.554,957,20,6.495477886
0.195,1.55,0.04,1.21,97.005,724.8,26.4,5.837948995
0.1,4.7,0,0,95.2,824.5,23.2,6.083376872
0.32,1.42,0,1.56,96.7,1019.814104,18.6490749,6.704399436
0.2,0.951,0.041,1.56,97.248,727.2,26.1,5.825657326
0.001,19.8,0,0,80.199,692,27.4,5.752900071
0.7,10.4,9.7,0,79.2,804,23.56471363,6.008975625
0.203,1.25,0.042,1.24,97.265,707.9,26.7,5.776558941
0.203,1.25,0.042,1.24,97.265,751.3,25.1,5.866497217
0.21,10.2,1.94,0,87.65,1362,13.8,8.047414484
0.16,3.95,0,0.5,95.39,1084,17.3,6.920442766
0.3,10,3,2,84.7,1241,15.1,7.538664694
0.083,4.62,0,0,95.297,887,21.1,6.229559655
0.19,1.59,0.036,1.63,96.554,1081,17.3,6.905198272
0.29,2.95,0.06,1.59,95.11,1558,12,8.896464521
0.2,0.951,0.041,1.56,97.248,759.5,24.6,5.867353395
0.1,4.7,0,0,95.2,788,23.7,5.938714299
0.16,3.95,0,0.5,95.39,1046,17.8,6.768157946
0.35,1.1,4.1,0.38,94.07,666.4,27.9,5.663625826
0.083,4.62,0,0,95.297,959,19.3,6.448503933
0.083,4.62,0,0,95.297,978,18.9,6.512402711
0.1,6.38,0,0,93.52,1168.3,15.8,7.226376734
0.05,5,0,0.2,94.75,996.2,18.5,6.572236291
0,32.6,0,0,67.4,446,41.3,5.637428098
0.199,0.94,0.041,2.1,96.72,699.6,26.3,5.701732822
0.083,4.62,0,0,95.297,855,21.5,6.099601402
0.12,5.13,0,0.009,94.741,1176,15.6,7.249179427
0.195,1.55,0.04,1.21,97.005,770.3,23.8,5.856934205
0.195,1.55,0.04,1.21,97.005,783.4,23.4,5.890852144
0.203,1.25,0.042,1.24,97.265,691.2,26.4,5.66721066
0.092,4.6,0,0,95.308,868,21,6.124848771
0.17,1.65,1.11,0.38,96.69,821.5,22.1,5.978345744
0.208,5.11,2.47,0,92.212,1440.3,12.6,8.347346727
0.201,0.95,0.04,1.24,97.569,701.6,25.8,5.671083712
0.29,2.95,0.06,1.59,95.11,1645,11,9.25693064
0.199,0.94,0.041,2.1,96.72,814,22.2,5.94839693
0.06,1.55,0,1.94,96.45,752.5,24,5.782808382
0.203,1.25,0.042,1.24,97.265,688.9,26.2,5.639198372
0.083,4.62,0,0,95.297,805,22.4,5.91898829
0.092,5.91,0.028,0.017,93.953,1130.7,15.9,7.043474828
0.2,0.951,0.041,1.56,97.248,688.7,26.1,5.630019651
0.16,3.95,0,0.5,95.39,1187,15.1,7.264263799
0.195,1.55,0.04,1.21,97.005,899.6,19.9,6.195637476
0.06,1.55,0,1.94,96.45,662.7,27,5.571362493
0.001,32.3,0,0,67.699,430,41.5,5.572448971
0.12,5.13,0,0.009,94.741,1013,17.6,6.584143668
0.06,1.55,0,1.94,96.45,706.6,25.2,5.647516675
0.06,1.55,0,1.94,96.45,646.7,27.5,5.53087063
0.201,0.95,0.04,1.24,97.569,746,23.8,5.733453802
0.3,6,3,1.5,89.2,905,19.6,6.198590302
0.3,6,3,1.5,89.2,905,19.6,6.198590302
0.05,8.51,0.08,0.29,91.07,1034,17.1,6.650043021
0.22,1.8,0,1.4,96.58,1037.5,17,6.659665843
0.17,1.65,1.11,0.38,96.69,809,21.8,5.890339755
0.19,1.59,0.036,1.63,96.554,1179,14.9,7.207286972
0.075,5.1,2.1,0.49,92.235,821,21.3,5.910505626
0.099,7.09,0.031,0.13,92.65,1016,17.2,6.566738477
0.11,8.1,1.8,0.6,89.39,1455,12,8.373070221
0.2,1.5,0.035,1.49,96.775,873,20,6.068632049
0.2,0.951,0.041,1.56,97.248,676.4,25.8,5.543029961
0.17,1.65,1.11,0.38,96.69,772,22.6,5.767623697
0.195,1.55,0.04,1.21,97.005,846.1,20.6,5.980914278
0.2,1.8,0.036,1.51,96.454,1007,17.3,6.529167416
0.28,4.95,0.06,1.64,93.07,1541,11.3,8.752942105
0,30,0,0,70,551,31.6,5.379230536
0.195,4.52,1.3,0,93.985,1226,14.2,7.388980433
0.2,5,0,0,94.8,879.2,19.8,6.083812494
0.1,4.7,0,0,95.2,906.6,19.2,6.174071014
0.2,2,0,1.5,96.3,1060,16.4,6.725025022
0.201,0.95,0.04,1.24,97.569,676.4,25.7,5.53486754
0.018,17,0,0,82.982,696.4,24.9,5.571198132
0.06,1.55,0,1.94,96.45,687.8,25.2,5.551984512
0.1,6.38,0,0,93.52,1283.8,13.5,7.625554072
0.19,1.59,0.036,1.63,96.554,893,19.4,6.121287483
0.16,2.52,0.055,1.41,95.855,1193,14.5,7.24577826
0.1,4.7,0,0,95.2,903.1,19.1,6.148123349
0.183,1.56,1.73,0.02,96.507,635,27.1,5.438767418
0.17,4.72,0,0,95.11,895,19.2,6.115125636
0.16,1.47,0.046,1.42,96.904,756,22.7,5.694482149
0.17,4.72,0,0,95.11,917,18.7,6.186106487
0.201,1.8,0.041,1.24,96.718,865.2,19.8,6.012671522
0.17,1.65,1.11,0.38,96.69,811.5,21.1,5.845906552
0.195,1.55,0.04,1.21,97.005,764.2,22.4,5.711663169
0.2,3,0.06,1.6,95.14,1069,16,6.738108819
0.17,1.65,1.11,0.38,96.69,818,20.9,5.862611447
0.15,6.09,1.849,0.969,90.942,1400,12.2,8.10991267
0.15,1.5,0.04,1.5,96.81,754.1396009,22.62981535,5.679299767
0.17,1.65,1.11,0.38,96.69,793,21.5,5.784548522
0.203,1.25,0.042,1.24,97.265,767.1,22.2,5.710074671
0.29,2.95,0.06,1.59,95.11,1548,11,8.764025328
0.12,4.89,1.52,0,93.47,877,19.4,6.039983514
0.17,1.65,1.11,0.38,96.69,817.9,20.8,5.853940876
0.06,5.5,0.03,0.2,94.21,1089.9,15.6,6.811662444
0.199,0.94,0.041,2.1,96.72,717.8,23.6,5.573830714
0.19,1.59,0.036,1.63,96.554,1210,14,7.291351621
0.19,1.59,0.036,1.63,96.554,1072,15.8,6.737028471
0.29,2.95,0.06,1.59,95.11,1535,11,8.697965853
0.15,6.09,1.849,0.969,90.942,1350,12.5,7.880325031
0.19,1.59,0.036,1.63,96.554,1045,16.1,6.624315287
0.2,3,0.06,1.6,95.14,1047,16,6.626315862
0.2,3,0.06,1.6,95.14,985,17,6.392887195
0.189,4.45,0.48,0,94.881,1322,12.6,7.746205507
0.092,4.6,0,0,95.308,951,17.5,6.260928367
0.143,7.39,1.55,0.2,90.717,1080,15.4,6.745030771
0.2,0.951,0.041,1.56,97.248,811.3,20.5,5.795915725
0.1,5.25,0,2.09,92.56,1240,13.4,7.394822036
0.2,3,0.06,1.6,95.14,1107,15,6.849581533
0.11,1.53,0.04,1.5,96.82,674.1157903,24.60767306,5.434100007
0.8,15,7,0,77.2,1063,15.5,6.666807725
0.11,1.53,0.043,1.5,96.817,703.4250087,23.367806,5.481831571
0.2,3,0.06,1.6,95.14,1174,14,7.108417691
0.2,5,0,0,94.8,893.1,18.4,6.04017142
0.002,39.7,0,0,60.298,419,39.2,5.328816805
0.183,1.56,1.73,0.02,96.507,623,26.3,5.312490071
0.06,1.54,0,1.02,97.38,602.3,27.2,5.280764852
0.06,1.55,0,1.94,96.45,679.6,24.1,5.420529594
0.203,1.25,0.042,1.24,97.265,853,19.2,5.901702718
0.29,2.95,0.06,1.59,95.11,1632,10,9.109246953
0.17,4.72,0,0,95.11,1101,14.8,6.802767703
0.11,1.53,0.043,1.5,96.817,679.2692009,23.9861897,5.409558963
0.19,1.59,0.036,1.63,96.554,1147,14.2,6.987542086
0.06,1.55,0,1.94,96.45,785.4,20.7,5.680629767
0.203,1.25,0.042,1.24,97.265,687.6,23.6,5.420369473
0.11,4.86,0,0,95.03,1039,15.6,6.553014193
0.19,1.59,0.036,1.63,96.554,1058,15.3,6.625075392
0.1,4.91,0.008,2.04,92.942,1064,15.2,6.647401959
0.82,0.03,0,2.01,97.14,1104.4,14.6,6.803719954
0.05,14.91,0,0,85.04,885.2,18.2,5.983702743
0.16,2.52,0.055,1.41,95.855,1166,13.8,7.051440864
0.25,7.17,2.6,0,89.98,873,18.4,5.938033309
0.3,8.5,5.6,0,85.6,887.4,18.1,5.986719618
0.19,1.59,0.036,1.63,96.554,1178,13.6,7.096093998
0.19,1.59,0.036,1.63,96.554,1082,14.8,6.706219239
0.1,4.7,0,0,95.2,773.2,20.7,5.618635491
0.06,1.54,0,1.02,97.38,581.4,27.5,5.199048807
0.1,6.38,0,0,93.52,787.4,20.3,5.658143079
0.12,4.89,1.52,0,93.47,986,16.2,6.332669323
0.201,0.95,0.04,1.24,97.569,752.8,21.2,5.555785037
0.14,7.14,0.056,0.23,92.434,1533.4,10.4,8.640860929
0.05,14.91,0,0,85.04,881,18.1,5.95419803
0.06,1.54,0,1.02,97.38,615.6,25.9,5.242237301
0.11,1.53,0.043,1.5,96.817,695.9900468,22.8753204,5.403852078
0.075,5.24,0.056,0.006,94.623,887,17.9,5.968362176
0.16,2.52,0.055,1.41,95.855,1163,13.6,7.019871528
0.19,1.59,0.036,1.63,96.554,1245,12.7,7.363092577
0.16,1.47,0.046,1.42,96.904,760,20.8,5.559722138
0.055,5.6,2.2,0.49,91.655,907,17.4,6.029180031
0.29,3,0,1.4,95.31,1409,11.2,8.074021941
0.15,2.55,0.047,1,96.253,968,16.3,6.249364779
0.201,0.95,0.04,1.24,97.569,665.5,23.7,5.316230787
0.17,1.65,1.11,0.38,96.69,807.9,19.5,5.697014419
0.06,1.55,0,1.94,96.45,732.5,21.5,5.47711789
0.2,8.5,3,0,88.3,863.5,18.2,5.873434235
0.16,2.52,0.055,1.41,95.855,1155,13.6,6.979219543
0.15,2.55,0.047,1,96.253,998,15.7,6.352835194
0.075,5.1,2.1,0.49,92.235,972,16.1,6.253365929
0.22,6.83,0,1.53,91.42,1125.9,13.8,6.847672792
0.16,3.95,0,0.5,95.39,1094,14.2,6.718222689
0.12,4.6,1.1,0.55,93.63,1204,12.9,7.171075999
0.17,1.65,1.11,0.38,96.69,784.3,19.8,5.601578329
0.11,1.53,0.043,1.5,96.817,682.2671275,22.7525065,5.324094502
0.31,1.57,0.009,1.51,96.601,972.0461097,15.95128964,6.241461869
0.2,3,0.06,1.6,95.14,1033,15,6.473550677
0.1,4.91,0.008,2.04,92.942,939,16.5,6.118326178
0.28,4.95,0.06,1.64,93.07,1629,9.5,9.053190353
0.8,0.03,0,0.99,98.18,817.4,18.9,5.696314123
0.183,1.56,1.73,0.02,96.507,633,24.4,5.208219049
0.2,3,0.06,1.6,95.14,1187,13,7.092852954
0.29,2.95,0.06,1.59,95.11,1543,10,8.656993626
0.29,3,0,1.4,95.31,1442,10.7,8.20089927
0.195,1.55,0.04,1.21,97.005,697,22.1,5.345699236
0.32,1.42,0,1.56,96.7,1135.265704,13.54170178,6.87418121
0.15,2.55,0.047,1,96.253,1004,15.3,6.350674497
0.11,1.53,0.043,1.5,96.817,678.3831466,22.62981535,5.294343492
0.29,3,0,1.4,95.31,1408,10.9,8.044453179
0.11,4.5,2.2,0.45,92.74,1014,15.1,6.385164635
0.203,1.25,0.042,1.24,97.265,683.4,22.4,5.301078126
0.15,1.52,0.048,0.64,97.642,735.8,20.8,5.436749885
0.21,10.2,1.94,0,87.65,1662,9.2,9.196392525
0.15,1.4,0,1.44,97.01,650,23.5,5.221142725
0.8,0.03,0,0.99,98.18,1059.8,14.4,6.560760298
0.06,1.55,0,1.94,96.45,811.2,18.8,5.656646414
0.6,18,1.5,0,79.9,1191,12.8,7.096854103
0.11,1.53,0.043,1.5,96.817,684.6744965,22.26247718,5.296329286
0.16,1.47,0.046,1.42,96.904,773,19.7,5.535994979
0.16,2.52,0.055,1.41,95.855,1136,13.4,6.866346238
0.2,3,0.06,1.6,95.14,1087,14,6.66632736
0.15,1.52,0.048,0.64,97.642,745.4,20.4,5.452882581
0.7,10.4,9.7,0,79.2,879,17.25553388,5.875106152
0.05,6.15,0,1.5,92.3,1099,13.8,6.710980494
0.2,3,0.06,1.6,95.14,1011,15,6.36175772
0.4,5.17,0.029,0.008,94.393,1528,9.9,8.572608734
0.15,1.52,0.048,0.64,97.642,726.9,20.8,5.391524552
0.092,4.6,0,0,95.308,950,15.9,6.125248129
0.055,5.6,2.2,0.49,91.655,974,15.5,6.214554398
0.11,1.53,0.043,1.5,96.817,673.2862206,22.38480081,5.248444354
0.3,4,1.82,0.6,93.28,1310.1,11.5,7.595949046
0.15,1.52,0.048,0.64,97.642,760.8,19.8,5.482163124
0.14,7,0,0.22,92.64,1565,9.6,8.736136898
0.19,1.59,0.036,1.63,96.554,1088,13.8,6.655084016
0.19,1.59,0.036,1.63,96.554,1182,12.7,7.0429582
0.15,2.55,0.047,1,96.253,1055,14.2,6.520044265
0.06,1.54,0,1.02,97.38,645.6,23.2,5.174296869
0.2,0.951,0.041,1.56,97.248,682.8,21.9,5.257217121
0.2,3,0.06,1.6,95.14,1359,11,7.803622195
0.201,0.95,0.04,1.24,97.569,658.5,22.7,5.199036088
0.15,1.52,0.048,0.64,97.642,726.8,20.5,5.366529139
0.095,5.8,0.028,0.13,93.947,949,15.7,6.103841789
0.17,3.99,0.025,0.5,95.315,901,16.5,5.925229252
0.092,4.6,0,0,95.308,959,15.5,6.138331927
0.06,1.55,0,1.94,96.45,790.4,18.8,5.550951255
0.12,1.51,0.04,0.78,97.55,635.4980488,23.367806,5.136660856
0.17,1.65,1.11,0.38,96.69,777,19.1,5.507346444
0.29,2.95,0.06,1.59,95.11,1648,9,9.10892671
0.19,1.59,0.036,1.63,96.554,1186,12.5,7.046959349
0.11,1.53,0.043,1.5,96.817,719.4594969,20.5627285,5.334348552
0.11,1.53,0.043,1.5,96.817,683.092167,21.65269053,5.238515327
0.15,2.55,0.047,1,96.253,960,15.4,6.135251004
0.15,1.52,0.048,0.64,97.642,778.8,18.9,5.500168298
0.06,5.5,0.03,0.2,94.21,1073.2,13.7,6.571715423
0.82,0.03,0,2.01,97.14,859.8,17.1,5.764846059
0.115,1.54,0.91,0.02,97.415,840,17.4,5.688719661
0.1,4.5,0,0,95.4,900,16.2,5.89566049
0.15,1.52,0.048,0.64,97.642,739.8,19.7,5.367289244
0.11,1.53,0.043,1.5,96.817,696.051503,20.92495977,5.244967717
0.79,2,0,1,96.21,1549.2,9.4,8.639524386
0.15,1.52,0.048,0.64,97.642,742.7,19.6,5.373863167
0.19,1.59,0.036,1.63,96.554,1009,14.4,6.302620196
0.29,3,0,1.4,95.31,1397,10.4,7.947744594
0.11,1.53,0.043,1.5,96.817,696.7479027,20.80409525,5.238641
0.11,1.53,0.043,1.5,96.817,684.6745781,21.1670517,5.206916458
0.092,4.6,0,0,95.308,933,15.5,6.006212977
0.11,1.55,1.5,0.059,96.781,578.7230705,24.98205737,4.979920911
0.19,1.59,0.036,1.63,96.554,989,14.6,6.217315078
1.58,0.43,1.65,0.4,95.94,1471.87,9.81,8.280038068
0.15,1.52,0.048,0.64,97.642,787.6,18.3,5.495910954
0.11,1.55,1.5,0.059,96.781,616.5303775,23.367806,5.040276671
0.11,1.55,1.5,0.059,96.781,604.9048687,23.73846512,5.01145643
0.35,3.5,5.8,0,90.35,947,15.13797635,6.047804055
0.28,6.2,0,1.6,91.92,1212.1,11.8,7.1224495
0.11,1.55,1.5,0.06,96.78,581.0236097,24.60767306,4.961052272
0.15,1.52,0.048,0.64,97.642,754.6,18.9,5.377196045
0.15,1.52,0.048,0.64,97.642,747.7,19,5.35029613
0.1,5.25,0,2.09,92.56,978,14.5,6.153256178
0.18,2.7,0,1.7,95.42,1232,11.5,7.199084048
0.15,6,1,1.5,91.35,950.2,14.9,6.044640217
0.115,1.51,0.38,0.49,97.505,667.7557873,21.1670517,5.120943656
0.11,1.55,1.5,0.059,96.781,598.3102903,23.61478851,4.967851087
0.092,5.91,0.028,0.017,93.953,1331,10.6,7.628690565
0.06,1.54,0,1.02,97.38,762.6,18.5,5.385198345
0.075,5.24,0.056,0.006,94.623,887,15.9,5.805113752
0.183,1.56,1.73,0.02,96.507,986,14.3,6.17758332
0.2,3,0.06,1.6,95.14,1083,13,6.564377156
0.32,5.8,5,0,88.88,1058.3,13.3,6.463351417
0.31,8.8,5.1,0,85.79,1150,12.2,6.839538156
0.1,5.18,0.026,0.12,94.574,597,23.5,4.951823327
0.05,18.66,0,0,81.29,697.9,20.1,5.18702416
0.15,1.52,0.048,0.64,97.642,746,18.8,5.325332741
0.01,0,0,1.92,98.07,378.9,37,4.945475466
0.099,7.09,0.031,0.13,92.65,801,17.5,5.498703658
0.16,3.95,0,0.5,95.39,921.8,15.2,5.924812935
0.15,1.52,0.048,0.64,97.642,751.9,18.6,5.338988737
0.05,18.66,0,0,81.29,695.7,20.1,5.175844864
0.11,1.53,0.043,1.5,96.817,700.4752064,19.96141939,5.188798533
0.17,1.65,1.11,0.38,96.69,964.3,14.5,6.083639654
0.195,4.52,1.3,0,93.985,702,19.9,5.19153346
0.11,1.55,1.5,0.059,96.781,594.3741651,23.49123551,4.937764758
0.3,9.3,2.15,0.028,88.222,1182.3,11.8,6.971020858
0.11,1.55,1.5,0.059,96.781,552.653075,25.23227162,4.86786982
0.01,0,0,1.92,98.07,420.6,33.1,4.839039507
0.15,4.02,0.027,0.49,95.313,953,14.6,6.034381148
0.01,0,0,1.92,98.07,416.2,33.4,4.841168179
0.018,31.6,0,6.45,61.932,695,20,5.164125394
0.06,1.54,0,1.02,97.38,661.7,21,5.076535721
0.4,6.25,2.24,0,91.11,1085.6,12.8,6.561264208
0.19,1.59,0.036,1.63,96.554,1186,11.7,6.98165998
0.17,1.65,1.11,0.38,96.69,912.5,15.2,5.877555004
0.17,1.65,1.11,0.38,96.69,940.6,14.7,5.979532993
0.11,1.55,1.5,0.059,96.781,566.265136,24.35870676,4.865735439
0.201,0.95,0.04,1.24,97.569,656.5,21,5.050111931
0.28,2.56,0.049,1.56,95.551,1590.826958,8.654180855,8.790174792
0.11,1.53,0.043,1.5,96.817,680.4402939,20.20158231,5.106594274
0.092,4.6,0,0,95.308,961,14.3,6.050545868
0.1,5.25,0,2.09,92.56,922,14.9,5.901341971
0.189,4.45,0.48,0,94.881,1477,9.3,8.264477805
0.11,1.53,0.043,1.5,96.817,700.6567437,19.60207442,5.160389764
0.2,3,0.06,1.6,95.14,1373,10,7.793138956
0.32,3.85,4.18,1.53,90.12,1141.2,12,6.77849613
0.28,4.08,0,1.42,94.22,1396.3,9.8,7.895213018
0.29,2.95,0.06,1.59,95.11,1709,8,9.337273879
0.75,18,1.7,0.5,79.05,1519.1,9,8.45392161
0.2,3,0.06,1.6,95.14,1136,12,6.75207234
0.01,0,0,1.92,98.07,434.9,31.3,4.764781347
0.01,0,0,1.92,98.07,459.6,29.5,4.743370768
0.11,4.86,0,0,95.03,1027,13.2,6.296138107
0.19,4.02,0.031,0.5,95.259,927,14.6,5.902262198
0.28,4.08,0,1.42,94.22,1394.8,9.7,7.87942835
0.06,1.54,0,1.02,97.38,642.3,21,4.977954659
0.06,5.5,0.03,0.2,94.21,1053.3,12.8,6.397131821
0.79,2,0,1,96.21,1182,11.4,6.936846724
0.11,1.55,1.5,0.059,96.781,575.3526978,23.367806,4.831032372
0.82,0.03,0,2.01,97.14,1840.1,7.3,9.946321326
0.115,1.51,0.38,0.49,97.505,693.4303276,19.36310931,5.104163407
0.2,3,0.06,1.6,95.14,1342,10,7.635612516
0.2,3,0.06,1.6,95.14,1029,13,6.28997626
0.189,4.45,0.48,0,94.881,726,18.4,5.191053095
0.18,6.4,2.8,0.5,90.12,717,18.6,5.161644455
0.06,1.54,0,1.02,97.38,723.7,18.4,5.179365649
0.21,10.2,1.94,0,87.65,1685,7.9,9.207155504
0.14,7.39,1.55,0.2,90.72,930,14.3,5.893019429
0.1,5.25,0,2.09,92.56,943,14.1,5.942754061
0.19,1.59,0.036,1.63,96.554,1241,10.7,7.179518161
0.092,5.91,0.028,0.017,93.953,1427.2,9.3,8.011419202
0.17,4.72,0,0,95.11,809,16.4,5.449569009
1.5,0.5,1.6,0,96.4,1205,11,7.021071494
0.06,5.5,0.03,0.2,94.21,1204.6,11,7.019038895
0.15,1.5,0.04,1.5,96.81,748.0650414,17.70366897,5.246339088
0.075,5.1,2.1,0.49,92.235,1009,13.1,6.19650872
0.11,1.55,1.5,0.059,96.781,586.9856834,22.50724682,4.819902901
0.2,3,0.06,1.6,95.14,1318,10,7.513656563
0.82,0.03,0,2.01,97.14,1050.8,12.5,6.359940812
0.115,1.51,0.38,0.49,97.505,641.9675436,20.44222604,4.930737422
0.2,3,0.06,1.6,95.14,1458,9,8.143442079
0.11,1.55,1.5,0.059,96.781,545.0607053,23.9861897,4.727578753
0.19,1.59,0.036,1.63,96.554,1304,10,7.44251559
0.06,22,0,0,77.94,660.6987372,19.72173631,4.96711054
0.12,5.13,0,0.009,94.741,1205,10.8,7.004746652
