C,Mn,Al,Si,Fe,UTS,UE
0.22,6.83,0.0,1.53,91.42,1076.5,27.2
0.22,6.83,0.0,1.53,91.42,1096.3,27.0
0.22,6.83,0.0,1.53,91.42,1125.9,13.8
0.14,7.0,0.0,0.22,92.64,1496.0,2.6
0.14,7.0,0.0,0.22,92.64,1565.0,9.6
0.2,8.5,3.0,0.0,88.3,863.5,18.2
0.2,8.5,3.0,0.0,88.3,995.5,54.6
0.2,8.5,3.0,0.0,88.3,997.6,45.5
0.2,8.5,3.0,0.0,88.3,1119.2,34.5
0.2,8.5,3.0,0.0,88.3,1228.1,23.3
0.17,5.56,1.21,0.0,93.06,1233.2,26.8
0.17,5.56,1.21,0.0,93.06,1633.0,13.3
0.2,12.4,5.2,0.9,81.29999999999998,815.0,28.1
0.2,12.4,5.2,0.9,81.29999999999998,760.0,33.2
0.23,8.1,5.3,0.01,86.36,793.0,26.4
0.23,8.1,5.3,0.01,86.36,949.0,51.0
0.6,20.15,9.22,0.0,70.03,875.0,31.0
0.6,20.15,9.22,0.0,70.03,830.0,36.0
0.6,20.15,9.22,0.0,70.03,806.0,39.0
0.6,20.15,9.22,0.0,70.03,787.0,40.0
0.8,15.0,7.0,0.0,77.2,1051.0,35.1
0.4,3.5,5.9,0.0,90.19999999999999,906.0,25.1
0.3,9.0,5.0,0.0,85.7,785.0,87.7
0.3,9.0,5.0,0.0,85.7,874.0,70.8
0.3,9.0,5.0,0.0,85.7,840.0,25.2
0.32,5.8,5.0,0.0,88.88000000000001,807.8,52.5
0.32,5.8,5.0,0.0,88.88000000000001,952.6,28.8
0.32,5.8,5.0,0.0,88.88000000000001,1058.3,13.3
0.22,11.2,1.95,0.0,86.63,1403.4,30.2
0.18,11.02,3.81,0.0,84.99,736.4,30.0
0.21,10.75,6.08,0.0,82.96000000000001,662.0,61.9
0.8,8.0,8.0,0.0,83.2,1676.9,13.3
0.26,10.1,6.3,0.0,83.34,806.3,43.3
0.26,10.1,6.3,0.0,83.34,783.7,47.9
0.26,10.1,6.3,0.0,83.34,761.1,48.5
0.26,10.1,6.3,0.0,83.34,655.6,35.5
0.0,25.6,0.0,0.0,74.4,831.4,35.8
0.0,25.5,0.19,0.0,74.31,799.8,38.1
0.0,26.1,0.7,0.0,73.2,600.5,47.3
0.0,26.2,3.6,0.0,70.2,495.9,44.4
0.11,30.9,1.21,0.0,67.78000000000002,569.9,45.8
0.24,31.0,1.18,0.0,67.58,632.1,41.5
0.37,31.4,1.19,0.0,67.03999999999999,706.7,48.1
0.31,31.4,5.09,0.0,63.19999999999999,742.0,43.7
2.0,30.0,9.5,0.0,58.5,1161.3,53.3
2.0,30.0,9.5,0.0,58.5,1509.7,31.8
2.0,30.0,9.5,0.0,58.5,1561.3,25.1
0.31,8.8,5.1,0.0,85.79,880.0,1.7
0.31,8.8,5.1,0.0,85.79,1557.0,16.8
0.31,8.8,5.1,0.0,85.79,1150.0,12.2
0.31,8.8,5.1,0.0,85.79,1090.0,9.1
0.35,3.5,5.8,0.0,90.35000000000001,824.0,11.61629434954
0.35,3.5,5.8,0.0,90.35000000000001,794.0,27.1222076215505
0.35,3.5,5.8,0.0,90.35000000000001,800.0,34.9540078843626
0.35,3.5,5.8,0.0,90.35000000000001,830.0,34.4809461235216
0.35,3.5,5.8,0.0,90.35000000000001,877.0,27.227332457293
0.35,3.5,5.8,0.0,90.35000000000001,947.0,15.1379763469119
0.7,10.4,9.7,0.0,79.19999999999999,971.0,4.8
0.7,10.4,9.7,0.0,79.19999999999999,877.0,7.8
0.7,10.4,9.7,0.0,79.19999999999999,879.0,17.2555338817742
0.7,10.4,9.7,0.0,79.19999999999999,855.0,29.1196675430412
0.7,10.4,9.7,0.0,79.19999999999999,804.0,23.5647136342582
0.7,10.4,9.7,0.0,79.19999999999999,763.0,13.2472616010907
0.7,10.4,9.7,0.0,79.19999999999999,671.0,9.8100245950301
0.7,10.4,9.7,0.0,79.19999999999999,611.0,2.97645531467938
0.35,1.1,4.1,0.38,94.07000000000002,814.5,14.1
0.35,1.1,4.1,0.38,94.07000000000002,666.4,27.9
0.35,1.1,4.1,0.38,94.07000000000002,715.4,10.4
0.35,1.1,4.1,0.38,94.07000000000002,674.4,12.5
0.32,5.8,5.0,0.0,88.88000000000001,923.7,51.7
0.32,5.8,5.0,0.0,88.88000000000001,910.4,58.4
0.32,5.8,5.0,0.0,88.88000000000001,889.9,46.7
0.32,5.8,5.0,0.0,88.88000000000001,833.4,13.5
0.32,5.8,5.0,0.0,88.88000000000001,920.9,51.6
0.32,5.8,5.0,0.0,88.88000000000001,882.1,40.7
0.32,5.8,5.0,0.0,88.88000000000001,898.5,25.9
0.32,5.8,5.0,0.0,88.88000000000001,724.0,13.0
0.017,4.5,7.9,0.0,87.583,592.2,16.9
0.18,3.34,6.57,0.0,89.91,635.0,17.1
0.18,3.34,6.57,0.0,89.91,704.0,16.9
0.18,3.34,6.57,0.0,89.91,648.0,13.2
0.18,3.34,6.57,0.0,89.91,631.0,11.4
0.18,3.34,6.57,0.0,89.91,671.0,8.4
0.18,3.34,6.57,0.0,89.91,550.0,0.9
0.18,3.34,6.57,0.0,89.91,640.0,19.4
0.92,28.8,9.37,0.035,60.87500000000001,997.0,37.0
0.92,28.8,9.37,0.035,60.87500000000001,979.0,39.8
0.92,28.8,9.37,0.035,60.87500000000001,868.0,48.9
0.92,28.8,9.37,0.035,60.87500000000001,801.0,50.0
0.92,28.8,9.37,0.035,60.87500000000001,789.0,55.0
0.92,28.8,9.37,0.035,60.87500000000001,869.0,51.8
0.75,28.89,9.48,0.035,60.845,822.0,47.7
0.75,28.89,9.48,0.035,60.845,957.0,34.5
0.56,29.06,9.57,0.04,60.769999999999996,904.0,28.4
0.36,28.86,9.52,0.04,61.220000000000006,841.0,24.9
1.0,28.0,12.0,0.0,59.0,884.6,58.4
1.0,28.0,12.0,0.0,59.0,889.6,51.0
1.0,28.0,12.0,0.0,59.0,937.8,35.8
1.0,28.0,12.0,0.0,59.0,986.0,19.7
1.0,28.0,12.0,0.0,59.0,1065.3,1.4
0.8,12.0,7.0,0.0,80.2,973.0,2.6
0.8,12.0,7.0,0.0,80.2,998.0,25.4
0.8,15.0,7.0,0.0,77.2,1063.0,15.5
0.8,15.0,7.0,0.0,77.2,1020.0,28.4
0.8,20.0,7.0,0.0,72.2,1080.0,19.3
0.8,20.0,7.0,0.0,72.2,1005.0,27.3
1.2,30.5,2.1,0.0,66.2,935.0,75.0
1.2,30.5,2.1,0.0,66.2,850.0,35.0
1.2,30.5,8.0,0.0,60.3,895.0,65.0
1.2,30.5,8.0,0.0,60.3,1180.0,37.0
0.05,14.91,0.0,0.0,85.04,881.0,18.1
0.05,16.86,0.0,0.0,83.09,769.4,28.3
0.05,18.66,0.0,0.0,81.29,695.7,20.1
0.32,3.85,4.18,1.53,90.12,895.1,14.1
0.32,3.85,4.18,1.53,90.12,920.4,34.4
0.32,3.85,4.18,1.53,90.12,1141.2,12.0
0.0035,0.1,6.81,0.008,93.0785,465.0,18.5
0.0015,0.1,8.1,0.007,91.79150000000001,527.0,11.9
0.04,0.13,9.74,0.007,90.083,626.0,11.6
0.31,6.67,5.94,0.02,87.06,728.1,33.0
0.47,26.0,9.7,0.0,63.83,945.0,20.6
0.47,26.0,9.7,0.0,63.83,882.0,26.7
0.17,3.3,1.7,0.22,94.61,957.0,11.5
0.16,4.7,1.6,0.22,93.32000000000001,1215.0,7.6
0.3,8.5,5.6,0.0,85.60000000000001,887.4,18.1
0.3,8.5,5.6,0.0,85.60000000000001,783.3,26.0
0.3,8.5,5.6,0.0,85.60000000000001,732.1,74.8
0.7,12.0,5.5,0.0,81.8,1416.8,5.9
0.7,12.0,5.5,0.0,81.8,1233.6,16.0
0.7,12.0,5.5,0.0,81.8,1056.2,32.7
0.7,12.0,5.5,0.0,81.8,1001.8,41.1
0.5,12.0,7.0,0.0,80.5,1064.0,10.4
0.5,12.0,7.0,0.0,80.5,909.0,22.2
0.5,12.0,7.0,0.0,80.5,861.4,30.2
1.27,28.4,8.3,0.25,61.780000000000015,1456.8,3.0
1.27,28.4,8.3,0.25,61.780000000000015,1047.6,24.6
1.27,28.4,8.3,0.25,61.780000000000015,962.5,47.4
1.27,28.4,8.3,0.25,61.780000000000015,884.5,55.7
0.8,31.52,8.73,0.0,58.95,764.8,57.8
0.8,31.52,8.73,0.0,58.95,749.2,61.8
0.8,31.52,8.73,0.0,58.95,844.2,52.1
0.8,31.52,8.73,0.0,58.95,895.6,46.2
0.6,21.59,0.0,0.0,77.81,857.0,65.5
0.63,21.78,2.97,0.0,74.62,675.2,80.4
0.6,22.0,5.86,0.0,71.54,690.4,48.2
0.86,22.8,8.48,0.0,67.86,757.3,62.8
0.38,27.8,8.59,0.35,62.88,567.7,39.8
1.01,27.95,8.65,0.54,61.849999999999994,822.0,59.8
0.6,20.15,9.22,0.0,70.03,875.0,31.0
0.6,20.15,9.22,0.0,70.03,830.0,36.0
0.6,20.15,9.22,0.0,70.03,806.0,39.0
0.6,20.15,9.22,0.0,70.03,787.0,40.0
0.81,26.8,12.32,0.0,60.07,955.0,38.0
0.95,27.02,11.5,0.59,59.94,925.9,41.9
1.11,29.8,7.65,0.09,61.35,746.0,58.0
1.11,29.8,7.65,0.09,61.35,923.0,43.8
1.11,29.8,7.65,0.09,61.35,974.0,31.0
1.11,29.8,7.65,0.09,61.35,960.0,28.0
0.06,29.2,5.2,0.6,64.94,464.0,43.5
0.06,29.2,5.2,0.6,64.94,483.0,43.0
0.06,29.2,5.2,0.6,64.94,497.0,42.1
1.12,29.6,10.46,0.0,58.82,855.0,51.4
0.3,3.5,6.0,0.0,90.2,816.4,36.1
0.4,12.0,0.0,0.0,87.6,1137.0,34.6
0.002,31.1,0.0,0.0,68.898,532.0,52.3
0.27,28.5,0.0,0.0,71.23,797.0,59.3
0.62,24.5,0.0,0.0,74.88,1000.0,76.1
0.6,22.0,0.0,0.0,77.4,1074.0,69.1
0.6,18.0,1.2,0.0,80.2,995.0,58.5
0.75,17.59,1.7,0.52,79.44,1581.0,14.8
0.02,15.8,2.9,3.0,78.28,930.4,37.8
0.04,20.1,2.9,2.8,74.15999999999998,840.5,70.6
0.03,25.6,2.8,3.0,68.57000000000001,639.5,79.7
0.005,14.8,0.0,0.02,85.17500000000001,772.0,37.2
0.05,14.91,0.0,0.0,85.04,885.2,18.2
0.05,16.86,0.0,0.0,83.09,773.4,28.2
0.05,18.66,0.0,0.0,81.29,697.9,20.1
0.59,17.7,0.0,1.59,80.11999999999999,1249.0,58.0
0.004,29.99,1.98,4.06,63.965999999999994,650.0,70.0
0.004,29.99,1.98,4.06,63.965999999999994,748.0,47.0
0.004,29.99,1.98,4.06,63.965999999999994,834.0,31.0
0.004,29.99,1.98,4.06,63.965999999999994,1049.0,6.0
0.56,21.68,0.0,0.06,77.69999999999999,2122.6,2.7
0.56,21.68,0.0,0.06,77.69999999999999,1432.1,27.3
0.56,21.68,0.0,0.06,77.69999999999999,1293.7,43.6
0.56,21.68,0.0,0.06,77.69999999999999,1250.2,47.2
0.56,21.68,0.0,0.06,77.69999999999999,909.7,77.8
0.38,26.5,3.6,2.2,67.32000000000001,827.0,48.0
0.38,26.5,3.6,2.2,67.32000000000001,838.0,50.0
0.38,26.5,3.6,2.2,67.32000000000001,769.0,63.0
0.38,26.5,3.6,2.2,67.32000000000001,733.0,50.0
0.38,26.5,3.6,2.2,67.32000000000001,751.0,53.0
0.38,26.5,3.6,2.2,67.32000000000001,731.0,71.0
0.36,30.0,3.1,1.9,64.64,754.0,58.0
0.36,30.0,3.1,1.9,64.64,813.0,41.0
0.36,30.0,3.1,1.9,64.64,772.0,50.0
0.36,30.0,3.1,1.9,64.64,718.0,61.0
0.36,30.0,3.1,1.9,64.64,765.0,48.0
0.36,30.0,3.1,1.9,64.64,757.0,56.0
0.36,30.0,3.1,1.9,64.64,738.0,65.0
0.61,22.2,0.0,0.18,77.00999999999999,961.7,65.9
0.75,18.0,1.7,0.5,79.05,903.2,65.2
0.75,18.0,1.7,0.5,79.05,1088.9,53.1
0.75,18.0,1.7,0.5,79.05,1023.7,54.2
0.75,18.0,1.7,0.5,79.05,1089.4,43.9
0.75,18.0,1.7,0.5,79.05,1271.4,28.9
0.75,18.0,1.7,0.5,79.05,1354.8,19.4
0.75,18.0,1.7,0.5,79.05,1519.1,9.0
0.62,17.65,0.02,0.0,81.71,880.0,51.0
0.61,19.01,0.96,0.0,79.42,890.0,54.9
0.58,19.07,2.02,0.0,78.33,860.0,59.4
0.6,18.0,1.5,0.0,79.9,1649.2,3.4
0.6,18.0,1.5,0.0,79.9,1344.7,7.4
0.6,18.0,1.5,0.0,79.9,1191.0,12.8
0.6,18.0,1.5,0.0,79.9,1067.3,21.3
0.6,18.0,1.5,0.0,79.9,889.4,32.2
0.6,18.0,1.5,0.0,79.9,835.2,40.8
0.6,18.0,1.5,0.0,79.9,868.3,39.3
0.6,18.0,1.5,0.0,79.9,859.3,49.3
0.6,18.0,1.5,0.0,79.9,723.6,52.2
0.6,18.0,1.5,0.0,79.9,687.4,59.9
0.6,18.0,1.5,0.0,79.9,663.3,59.3
0.62,17.65,0.02,0.0,81.71,954.9,70.3
0.56,19.01,0.96,0.0,79.47,931.0,62.8
0.58,17.48,1.42,0.0,80.52,844.0,80.4
0.6,18.0,0.0,0.0,81.4,1124.0,59.4
0.6,18.0,1.5,0.0,79.9,966.0,57.3
0.6,18.0,2.5,0.0,78.9,890.0,56.2
0.0,31.0,3.0,3.0,63.0,825.0,39.8
0.0,31.0,3.0,3.0,63.0,724.0,56.5
0.0,31.0,3.0,3.0,63.0,648.0,63.1
0.0,31.0,3.0,3.0,63.0,575.0,70.0
0.0,31.0,3.0,3.0,63.0,519.0,76.3
0.0,31.0,3.0,3.0,63.0,776.5,45.8
0.0,31.0,3.0,3.0,63.0,689.3,63.7
0.0,31.0,3.0,3.0,63.0,595.4,81.6
0.7,15.0,2.0,2.0,80.3,1146.0,53.2
0.7,15.0,2.0,2.0,80.3,1101.2,50.7
0.7,15.0,2.0,2.0,80.3,955.5,62.4
0.7,15.0,2.0,2.0,80.3,834.0,61.9
0.7,15.0,2.0,2.0,80.3,773.4,63.7
0.62,17.65,0.01,0.01,81.70999999999998,1118.0,71.0
0.58,17.51,1.54,0.05,80.32,925.8,64.3
0.59,17.7,0.03,1.59,80.08999999999999,1164.0,64.6
0.31,22.28,0.0,0.12,77.28999999999999,820.8,45.4
0.53,17.88,0.0,0.08,81.51,982.3,55.9
0.32,16.8,1.47,0.03,81.38000000000001,702.0,55.0
0.51,15.45,1.3,0.03,82.71,593.0,58.0
0.47,22.38,0.0,0.17,76.98,938.2,51.2
0.32,21.75,1.26,0.04,76.63,738.0,57.0
0.4,21.83,1.5,0.16,76.11,591.0,41.5
0.53,15.44,1.9,0.11,82.02,962.0,49.7
0.6,16.85,1.14,0.06,81.35000000000001,979.0,56.9
0.68,18.84,1.49,0.05,78.94,830.0,68.5
0.71,23.5,0.01,0.06,75.72,953.5,63.4
0.0,30.0,0.0,0.0,70.0,487.09770776761553,45.06329812931589
0.5,30.0,0.0,0.0,69.5,754.2492699154765,55.426070234230586
0.6,22.0,0.0,0.0,77.4,821.378862522026,54.49630589513384
1.0,30.0,0.0,0.0,69.0,886.6154376955142,56.67446571994515
1.2,22.0,0.0,0.0,76.8,1069.2069887274117,56.517869565352164
1.2,12.0,0.0,0.0,86.8,1112.269164431163,56.517869565352164
0.95,17.0,0.0,0.0,82.05,1121.555658478345,54.18762207006325
0.59,16.42,0.0,3.0,79.99,963.0,40.6
0.96,13.08,0.0,1.23,84.73,904.0,40.9
0.02,16.2,1.8,4.0,77.98,1090.3,28.4
0.02,17.9,2.9,3.2,75.98,937.9,38.3
0.01,15.9,3.5,1.9,78.68999999999998,767.2,37.4
0.06,18.2,1.8,4.3,75.64,899.5,54.2
0.04,20.1,2.9,2.8,74.15999999999998,840.0,71.3
0.03,18.1,3.5,1.8,76.57000000000001,739.4,50.2
0.03,25.5,1.8,3.9,68.77,728.6,58.2
0.03,26.5,2.8,3.0,67.67,649.3,80.2
0.03,25.6,3.8,2.0,68.57000000000001,568.5,72.2
0.02,28.7,2.0,4.0,65.28,735.8,63.1
0.02,29.2,2.8,3.0,64.98,609.3,75.2
0.01,30.6,3.9,2.0,63.48999999999998,534.6,65.2
0.06,22.0,0.0,0.0,77.94,660.6987372263162,19.721736312181015
0.19,22.0,0.0,0.0,77.81,696.9786497449601,43.332941456034014
0.42,22.0,0.0,0.0,77.58,725.9095890716072,68.20276496988865
0.57,22.0,0.0,0.0,77.43,775.9009018957651,76.8267051433735
0.018,17.0,0.0,0.0,82.982,696.4,24.9
0.59,21.95,0.01,3.04,74.40999999999998,803.0,36.8
0.59,21.95,0.01,3.04,74.40999999999998,1191.0,46.7
0.59,21.95,0.01,3.04,74.40999999999998,1351.0,4.6
0.0,25.6,0.0,0.0,74.4,830.4,35.4
0.0,25.5,0.19,0.0,74.31,793.0,37.8
0.0,26.1,0.7,0.0,73.2,594.7,47.3
0.0,26.2,3.6,0.0,70.2,497.8,44.2
0.11,30.9,1.21,0.0,67.78000000000002,571.9,45.7
0.24,31.0,1.18,0.0,67.58,629.9,41.3
0.37,31.4,1.19,0.0,67.03999999999999,707.7,48.0
0.31,31.4,5.09,0.0,63.19999999999999,738.5,43.7
0.52,29.8,2.73,2.96,63.99,802.0,28.9
0.52,29.8,2.73,2.96,63.99,725.0,54.5
0.3,25.0,1.0,0.0,73.7,851.0,39.2
0.3,25.0,1.0,0.0,73.7,801.2,42.9
0.3,25.0,1.0,0.0,73.7,770.5,48.6
0.3,25.0,1.0,0.0,73.7,687.1,55.7
0.3,25.0,1.0,0.0,73.7,639.6,59.5
0.023,2.05,0.038,0.31,97.57900000000001,558.9898170945943,12.524411136734237
0.046,2.11,0.028,0.31,97.50599999999999,604.2318111638016,13.201587099917521
0.046,2.11,0.028,0.31,97.50599999999999,642.5272460403684,12.524411136734237
0.088,2.07,0.036,0.31,97.49600000000001,571.4330268137583,18.64907490217118
0.088,2.07,0.036,0.31,97.49600000000001,702.8082421635315,16.532497894273778
0.088,2.07,0.036,0.31,97.49600000000001,903.4896114888638,7.250818125421654
0.088,2.07,0.036,0.31,97.49600000000001,820.6588327679215,11.73949068544582
0.175,2.1,0.024,0.31,97.391,775.2379917198548,15.835396302985538
0.175,2.1,0.024,0.31,97.391,978.8847637246636,9.308065632633022
0.1,3.5,0.0,0.0,96.4,586.4948125527402,18.05731017232761
0.1,3.5,0.0,0.0,96.4,655.0692487169528,17.468496881387164
0.1,3.5,0.0,0.0,96.4,836.2922116042458,14.11083192672351
0.1,3.5,0.0,0.0,96.4,947.8136941424087,11.182187650653086
0.17,1.49,0.033,0.22,98.087,870.0,7.2
0.17,1.49,0.033,0.22,98.087,964.0,7.4
0.17,1.49,0.033,0.22,98.087,1037.0,7.1
0.17,1.49,0.033,0.22,98.087,1005.0,8.6
0.17,1.49,0.033,0.22,98.087,633.0,7.3
0.063,1.29,0.005,0.24,98.402,470.5239443854811,18.293661064781077
0.12,0.87,0.02,0.25,98.74,681.7638832415504,11.182187650653086
0.12,0.87,0.02,0.25,98.74,707.6550747528048,11.071061035570517
0.12,0.87,0.02,0.25,98.74,728.3131519960775,11.627807045887128
0.12,0.87,0.02,0.25,98.74,746.5046841962785,12.524411136734237
0.12,0.87,0.02,0.25,98.74,784.8220958735639,12.636991828835287
0.12,0.87,0.02,0.25,98.74,840.1370512605348,13.314845306682631
0.12,0.87,0.02,0.25,98.74,744.6112995129474,9.855974591717365
0.12,0.87,0.02,0.25,98.74,802.38427982222,10.296278510850776
0.12,0.87,0.02,0.25,98.74,808.2286347626766,9.7461735268082
0.12,0.87,0.02,0.25,98.74,838.9780853378104,10.849140907600718
0.12,0.87,0.02,0.25,98.74,880.4068077489886,10.517091807564771
0.12,0.87,0.02,0.25,98.74,907.4911825082143,11.516235034144785
0.12,0.87,0.02,0.25,98.74,815.6389085484941,8.871706669839874
0.12,0.87,0.02,0.25,98.74,855.8616496289079,8.545580982954903
0.12,0.87,0.02,0.25,98.74,878.2878690456503,9.41742837052104
0.12,0.87,0.02,0.25,98.74,909.3688340964552,9.636482208081688
0.12,0.87,0.02,0.25,98.74,972.4227811285867,9.41742837052104
0.12,0.87,0.02,0.25,98.74,992.2082108424361,9.855974591717365
0.1,1.0,0.0026,0.1,98.79740000000001,697.0,16.1
0.15,1.0,0.0026,0.1,98.7474,907.0,11.6
0.166,1.03,0.0,0.24,98.56400000000001,924.0,6.39
0.166,1.03,0.0,0.24,98.56400000000001,1069.0,5.87
0.166,1.03,0.0,0.24,98.56400000000001,691.0,8.09
0.166,1.03,0.0,0.24,98.56400000000001,835.0,5.94
0.166,1.03,0.0,0.24,98.56400000000001,892.0,5.34
0.17,1.63,0.036,0.28,97.884,665.0,10.6
0.17,1.63,0.036,0.28,97.884,893.0,11.3
0.17,1.63,0.036,0.28,97.884,1008.0,12.4
0.09,1.34,0.0,0.012,98.55799999999999,719.0711904785592,13.201587099917521
0.09,1.34,0.0,0.012,98.55799999999999,792.2963933543471,10.186037362101064
0.09,1.34,0.0,0.012,98.55799999999999,859.5467374636933,8.545580982954903
0.09,1.34,0.0,0.012,98.55799999999999,891.9963000046766,6.502683923130537
0.09,1.34,0.0,0.012,98.55799999999999,1004.8955300399638,4.289447875076324
0.172,1.387,0.0,0.252,98.18900000000001,559.3189144800285,12.636991828835287
0.11,2.132,0.0,0.639,97.119,730.4141687194126,9.52690052584655
0.15,1.7,0.0,0.5,97.64999999999999,893.1057037467014,10.849140907600718
0.15,1.7,0.0,0.5,97.64999999999999,1052.7649671145962,10.186037362101064
0.15,1.7,0.0,0.5,97.64999999999999,1122.9434374497903,5.97149957102876
0.052,1.61,0.033,0.77,97.535,507.8883287486616,17.93931187113906
0.11,1.6,0.06,0.73,97.5,725.044768322604,15.027379885722736
0.11,1.6,0.06,0.73,97.5,708.5269618500267,15.027379885722736
0.11,1.6,0.06,0.73,97.5,617.2443471331521,15.027379885722736
0.23,1.6,0.05,0.74,97.38000000000001,1352.0500826389452,8.871706669839874
0.23,1.6,0.05,0.74,97.38000000000001,1289.867099622968,5.127109637602412
0.23,1.6,0.05,0.74,97.38000000000001,1099.789556772049,6.9295478174600245
0.32,1.61,0.06,0.74,97.27000000000001,1960.1026287007915,5.759768373661123
0.32,1.61,0.06,0.74,97.27000000000001,1887.2048984134592,4.9170655324470625
0.32,1.61,0.06,0.74,97.27000000000001,1699.4969823682782,5.4429645119356
0.06,1.54,0.0,1.02,97.38,581.4,27.5
0.06,1.54,0.0,1.02,97.38,602.3,27.2
0.06,1.54,0.0,1.02,97.38,615.6,25.9
0.06,1.54,0.0,1.02,97.38,645.6,23.2
0.06,1.54,0.0,1.02,97.38,642.3,21.0
0.06,1.54,0.0,1.02,97.38,661.7,21.0
0.06,1.54,0.0,1.02,97.38,686.9,18.8
0.06,1.54,0.0,1.02,97.38,723.7,18.4
0.06,1.54,0.0,1.02,97.38,762.6,18.5
0.06,1.54,0.0,1.02,97.38,788.6,14.1
0.06,1.54,0.0,1.02,97.38,814.3,14.6
0.06,1.55,0.0,1.94,96.45,656.9,30.4
0.06,1.55,0.0,1.94,96.45,646.7,27.5
0.06,1.55,0.0,1.94,96.45,662.7,27.0
0.06,1.55,0.0,1.94,96.45,687.8,25.2
0.06,1.55,0.0,1.94,96.45,679.6,24.1
0.06,1.55,0.0,1.94,96.45,706.6,25.2
0.06,1.55,0.0,1.94,96.45,752.5,24.0
0.06,1.55,0.0,1.94,96.45,732.5,21.5
0.06,1.55,0.0,1.94,96.45,785.4,20.7
0.06,1.55,0.0,1.94,96.45,790.4,18.8
0.06,1.55,0.0,1.94,96.45,811.2,18.8
0.1,0.7,0.0,0.2,99.0,511.1,16.3
0.1,0.7,0.0,0.2,99.0,636.5,14.1
0.1,0.7,0.0,0.2,99.0,667.6,13.2
0.1,0.7,0.0,0.2,99.0,654.8,16.0
0.1,0.7,0.0,0.2,99.0,568.3,16.2
0.12,1.5,0.05,1.2,97.13,677.0,18.8
0.201,0.95,0.04,1.24,97.569,752.8,21.2
0.201,0.95,0.04,1.24,97.569,746.0,23.8
0.201,0.95,0.04,1.24,97.569,701.6,25.8
0.201,0.95,0.04,1.24,97.569,658.5,22.7
0.201,0.95,0.04,1.24,97.569,656.5,21.0
0.201,0.95,0.04,1.24,97.569,665.5,23.7
0.201,0.95,0.04,1.24,97.569,676.4,25.7
0.2,0.951,0.041,1.56,97.248,811.3,20.5
0.2,0.951,0.041,1.56,97.248,759.5,24.6
0.2,0.951,0.041,1.56,97.248,727.2,26.1
0.2,0.951,0.041,1.56,97.248,721.8,26.9
0.2,0.951,0.041,1.56,97.248,682.8,21.9
0.2,0.951,0.041,1.56,97.248,670.9,19.1
0.2,0.951,0.041,1.56,97.248,676.4,25.8
0.2,0.951,0.041,1.56,97.248,688.7,26.1
0.199,0.94,0.041,2.1,96.72000000000001,814.0,22.2
0.199,0.94,0.041,2.1,96.72000000000001,770.3,25.7
0.199,0.94,0.041,2.1,96.72000000000001,752.8,28.2
0.199,0.94,0.041,2.1,96.72000000000001,740.0,28.7
0.199,0.94,0.041,2.1,96.72000000000001,717.8,23.6
0.199,0.94,0.041,2.1,96.72000000000001,670.9,19.1
0.199,0.94,0.041,2.1,96.72000000000001,699.6,26.3
0.199,0.94,0.041,2.1,96.72000000000001,702.3,28.0
0.203,1.25,0.042,1.24,97.265,853.0,19.2
0.203,1.25,0.042,1.24,97.265,767.1,22.2
0.203,1.25,0.042,1.24,97.265,751.3,25.1
0.203,1.25,0.042,1.24,97.265,691.2,26.4
0.203,1.25,0.042,1.24,97.265,687.6,23.6
0.203,1.25,0.042,1.24,97.265,655.0,17.9
0.203,1.25,0.042,1.24,97.265,683.4,22.4
0.203,1.25,0.042,1.24,97.265,688.9,26.2
0.203,1.25,0.042,1.24,97.265,707.9,26.7
0.195,1.55,0.04,1.21,97.00500000000001,899.6,19.9
0.195,1.55,0.04,1.21,97.00500000000001,831.1,23.7
0.195,1.55,0.04,1.21,97.00500000000001,797.3,26.1
0.195,1.55,0.04,1.21,97.00500000000001,763.5,26.6
0.195,1.55,0.04,1.21,97.00500000000001,764.2,22.4
0.195,1.55,0.04,1.21,97.00500000000001,764.9,15.9
0.195,1.55,0.04,1.21,97.00500000000001,1102.9,6.4
0.195,1.55,0.04,1.21,97.00500000000001,1057.6,6.3
0.195,1.55,0.04,1.21,97.00500000000001,1039.1,6.7
0.195,1.55,0.04,1.21,97.00500000000001,1009.2,7.2
0.195,1.55,0.04,1.21,97.00500000000001,1059.7,6.5
0.195,1.55,0.04,1.21,97.00500000000001,1467.2,6.3
0.195,1.55,0.04,1.21,97.00500000000001,1448.6,5.6
0.195,1.55,0.04,1.21,97.00500000000001,1430.2,5.3
0.195,1.55,0.04,1.21,97.00500000000001,1434.8,5.2
0.195,1.55,0.04,1.21,97.00500000000001,1427.9,5.3
0.195,1.55,0.04,1.21,97.00500000000001,846.1,20.6
0.195,1.55,0.04,1.21,97.00500000000001,783.4,23.4
0.195,1.55,0.04,1.21,97.00500000000001,762.1,26.8
0.195,1.55,0.04,1.21,97.00500000000001,747.0,28.7
0.195,1.55,0.04,1.21,97.00500000000001,768.6,25.7
0.195,1.55,0.04,1.21,97.00500000000001,697.0,22.1
0.195,1.55,0.04,1.21,97.00500000000001,724.8,26.4
0.195,1.55,0.04,1.21,97.00500000000001,777.7,25.6
0.195,1.55,0.04,1.21,97.00500000000001,770.3,23.8
0.201,1.8,0.041,1.24,96.71800000000002,865.2,19.8
0.201,1.8,0.041,1.24,96.71800000000002,803.8,23.9
0.201,1.8,0.041,1.24,96.71800000000002,800.2,26.0
